id,Car Name,Year,Distance,Owner,Fuel,Location,Drive,Type,Price
427,Maruti Baleno,2017,13053,1,PETROL,HR-26,Manual,HatchBack,592000
428,Tata Tiago,2016,10215,1,PETROL,TS-08,Manual,HatchBack,452000
429,Honda BR-V,2019,46532,1,DIESEL,UP-16,Manual,SUV,928000
430,Hyundai Elite i20,2018,97274,1,DIESEL,TS-07,Manual,HatchBack,768000
431,Hyundai NEW SANTRO,2019,80968,1,CNG,HR-36,Manual,HatchBack,489000
432,Hyundai AURA,2020,51452,1,DIESEL,UP-32,Manual,Sedan,687000
433,Maruti Swift,2014,56753,2,PETROL,HR-51,Manual,HatchBack,453000
434,Honda Brio,2015,18554,1,PETROL,MH-43,Manual,HatchBack,363000
435,Maruti Celerio,2019,38439,1,PETROL,RJ-51,Manual,HatchBack,443000
436,Honda Amaze,2019,16645,1,PETROL,DL-10,Manual,Sedan,729000
437,Maruti Baleno,2021,22521,1,PETROL,MP-09,Manual,HatchBack,717000
438,Maruti Ertiga,2014,52106,1,PETROL,MH-05,Manual,SUV,627000
439,Maruti New Wagon-R,2021,31320,1,PETROL,TS-19,Automatic,HatchBack,675000
440,Honda City,2016,78752,2,DIESEL,KA-41,Automatic,Sedan,640000
441,Maruti Wagon R 1.0,2015,70766,1,PETROL,DL-8C,Manual,HatchBack,308000
442,Renault Kwid,2019,25085,1,PETROL,DL-3C,Manual,HatchBack,363000
443,Maruti New Wagon-R,2021,36430,1,CNG,UP-78,Manual,HatchBack,566000
444,Toyota Corolla Altis,2017,96186,3,CNG,GJ-01,Automatic,Lux_sedan,944000
445,Maruti Baleno,2019,25387,2,PETROL,GJ-06,Automatic,HatchBack,673000
446,Maruti Swift,2015,60559,1,PETROL,RJ-14,Manual,HatchBack,434000
447,Maruti Celerio,2016,69437,3,PETROL,TN-11,Manual,HatchBack,399000
448,Volkswagen Polo,2016,90305,1,PETROL,TN-23,Manual,HatchBack,559000
449,Maruti IGNIS,2018,89322,1,CNG,GJ-27,Manual,HatchBack,467000
450,Maruti Swift,2018,15466,1,PETROL,KA-05,Automatic,HatchBack,758000
451,Hyundai i10,2010,82416,1,PETROL,KA-03,Manual,HatchBack,291000
452,Ford Ecosport,2015,92975,1,PETROL,DL-10,Automatic,SUV,497000
453,Maruti Alto 800,2016,66948,2,PETROL,TS-15,Manual,HatchBack,257000
454,Maruti Alto,2020,24952,1,PETROL,UP-78,Manual,HatchBack,324200
455,Maruti Swift,2019,95808,1,PETROL,MH-14,Automatic,HatchBack,615000
456,Hyundai i10,2012,29182,2,PETROL,MH-01,Manual,HatchBack,235000
457,Maruti New Wagon-R,2020,51781,1,PETROL,TS-08,Manual,HatchBack,527000
